Region,CalendarYear,Month,Days,Kilograms
Mapstone - Far northern,2001,06 - June,9,19
Mapstone - Far northern,2001,07 - July,N/A,N/A
Mapstone - Far northern,2001,08 - August,N/A,N/A
Mapstone - Far northern,2001,09 - September,N/A,N/A
Mapstone - Far northern,2001,10 - October,N/A,N/A
Mapstone - Far northern,2001,11 - November,N/A,N/A
Mapstone - Far northern,2001 Total,,68,65.5
Mapstone - Far northern,2002,04 - April,N/A,N/A
Mapstone - Far northern,2002,05 - May,N/A,N/A
Mapstone - Far northern,2002,06 - June,N/A,N/A
Mapstone - Far northern,2002,07 - July,N/A,N/A
Mapstone - Far northern,2002,08 - August,30,9
Mapstone - Far northern,2002,09 - September,20,9
Mapstone - Far northern,2002,10 - October,N/A,N/A
Mapstone - Far northern,2002,11 - November,24,71
Mapstone - Far northern,2002,12 - December,N/A,N/A
Mapstone - Far northern,2002 Total,,122,254.68
Mapstone - Far northern,2003,03 - March,N/A,N/A
Mapstone - Far northern,2003,04 - April,N/A,N/A
Mapstone - Far northern,2003,05 - May,16,11.5
Mapstone - Far northern,2003,06 - June,N/A,N/A
Mapstone - Far northern,2003,07 - July,N/A,N/A
Mapstone - Far northern,2003,08 - August,N/A,N/A
Mapstone - Far northern,2003,09 - September,N/A,N/A
Mapstone - Far northern,2003,10 - October,N/A,N/A
Mapstone - Far northern,2003,11 - November,27,0
Mapstone - Far northern,2003,12 - December,N/A,N/A
Mapstone - Far northern,2003 Total,,107,24.5
Mapstone - Far northern,2004,03 - March,N/A,N/A
Mapstone - Far northern,2004,04 - April,N/A,N/A
Mapstone - Far northern,2004,05 - May,N/A,N/A
Mapstone - Far northern,2004,06 - June,N/A,N/A
Mapstone - Far northern,2004,07 - July,N/A,N/A
Mapstone - Far northern,2004,08 - August,N/A,N/A
Mapstone - Far northern,2004,09 - September,23,8.82
Mapstone - Far northern,2004,10 - October,N/A,N/A
Mapstone - Far northern,2004,11 - November,15,0
Mapstone - Far northern,2004,12 - December,20,0
Mapstone - Far northern,2004 Total,,109,16.82
Mapstone - Far northern,2005,03 - March,N/A,N/A
Mapstone - Far northern,2005,04 - April,N/A,N/A
Mapstone - Far northern,2005,05 - May,N/A,N/A
Mapstone - Far northern,2005,06 - June,N/A,N/A
Mapstone - Far northern,2005,07 - July,N/A,N/A
Mapstone - Far northern,2005,09 - September,N/A,N/A
Mapstone - Far northern,2005,10 - October,22,20
Mapstone - Far northern,2005,11 - November,27,82
Mapstone - Far northern,2005,12 - December,N/A,N/A
Mapstone - Far northern,2005 Total,,108,141.76
Mapstone - Far northern,2006,01 - January,N/A,N/A
Mapstone - Far northern,2006,03 - March,N/A,N/A
Mapstone - Far northern,2006,04 - April,18,2.94
Mapstone - Far northern,2006,05 - May,N/A,N/A
Mapstone - Far northern,2006,06 - June,N/A,N/A
Mapstone - Far northern,2006,07 - July,N/A,N/A
Mapstone - Far northern,2006,08 - August,N/A,N/A
Mapstone - Far northern,2006,09 - September,N/A,N/A
Mapstone - Far northern,2006,10 - October,N/A,N/A
Mapstone - Far northern,2006,11 - November,N/A,N/A
Mapstone - Far northern,2006,12 - December,N/A,N/A
Mapstone - Far northern,2006 Total,,148,75.92
Mapstone - Far northern,2007,01 - January,N/A,N/A
Mapstone - Far northern,2007,03 - March,N/A,N/A
Mapstone - Far northern,2007,04 - April,N/A,N/A
Mapstone - Far northern,2007,05 - May,N/A,N/A
Mapstone - Far northern,2007,06 - June,N/A,N/A
Mapstone - Far northern,2007,07 - July,N/A,N/A
Mapstone - Far northern,2007,08 - August,N/A,N/A
Mapstone - Far northern,2007,09 - September,N/A,N/A
Mapstone - Far northern,2007,10 - October,N/A,N/A
Mapstone - Far northern,2007,11 - November,23,5
Mapstone - Far northern,2007,12 - December,N/A,N/A
Mapstone - Far northern,2007 Total,,123,82.5
Mapstone - Far northern,2008,01 - January,N/A,N/A
Mapstone - Far northern,2008,03 - March,N/A,N/A
Mapstone - Far northern,2008,04 - April,N/A,N/A
Mapstone - Far northern,2008,05 - May,N/A,N/A
Mapstone - Far northern,2008,06 - June,N/A,N/A
Mapstone - Far northern,2008,07 - July,N/A,N/A
Mapstone - Far northern,2008,08 - August,N/A,N/A
Mapstone - Far northern,2008,09 - September,N/A,N/A
Mapstone - Far northern,2008,10 - October,N/A,N/A
Mapstone - Far northern,2008,11 - November,N/A,N/A
Mapstone - Far northern,2008,12 - December,N/A,N/A
Mapstone - Far northern,2008 Total,,87,25
Mapstone - Far northern,2009,02 - February,N/A,N/A
Mapstone - Far northern,2009,04 - April,N/A,N/A
Mapstone - Far northern,2009,05 - May,N/A,N/A
Mapstone - Far northern,2009,06 - June,N/A,N/A
Mapstone - Far northern,2009,07 - July,N/A,N/A
Mapstone - Far northern,2009,08 - August,N/A,N/A
Mapstone - Far northern,2009,09 - September,N/A,N/A
Mapstone - Far northern,2009,10 - October,N/A,N/A
Mapstone - Far northern,2009,11 - November,N/A,N/A
Mapstone - Far northern,2009,12 - December,N/A,N/A
Mapstone - Far northern,2009 Total,,N/A,N/A
Mapstone - Far northern,2010,03 - March,N/A,N/A
Mapstone - Far northern,2010,04 - April,N/A,N/A
Mapstone - Far northern,2010,05 - May,N/A,N/A
Mapstone - Far northern,2010,06 - June,N/A,N/A
Mapstone - Far northern,2010,07 - July,N/A,N/A
Mapstone - Far northern,2010,08 - August,N/A,N/A
Mapstone - Far northern,2010,09 - September,N/A,N/A
Mapstone - Far northern,2010,10 - October,N/A,N/A
Mapstone - Far northern,2010,11 - November,N/A,N/A
Mapstone - Far northern,2010,12 - December,N/A,N/A
Mapstone - Far northern,2010 Total,,N/A,N/A
Mapstone - Far northern,2011,04 - April,N/A,N/A
Mapstone - Far northern,2011,05 - May,N/A,N/A
Mapstone - Far northern,2011,06 - June,N/A,N/A
Mapstone - Far northern,2011,07 - July,N/A,N/A
Mapstone - Far northern,2011,08 - August,N/A,N/A
Mapstone - Far northern,2011,10 - October,N/A,N/A
Mapstone - Far northern,2011 Total,,N/A,N/A
Mapstone - Far northern,2012,03 - March,N/A,N/A
Mapstone - Far northern,2012,04 - April,N/A,N/A
Mapstone - Far northern,2012,05 - May,N/A,N/A
Mapstone - Far northern,2012,06 - June,N/A,N/A
Mapstone - Far northern,2012,07 - July,N/A,N/A
Mapstone - Far northern,2012,08 - August,N/A,N/A
Mapstone - Far northern,2012,09 - September,N/A,N/A
Mapstone - Far northern,2012,10 - October,N/A,N/A
Mapstone - Far northern,2012,11 - November,N/A,N/A
Mapstone - Far northern,2012 Total,,N/A,N/A
Mapstone - Far northern,2015,05 - May,N/A,N/A
Mapstone - Far northern,2017,05 - May,N/A,N/A
Mapstone - Far northern,2018,04 - April,N/A,N/A
Mapstone - Far northern,2018,05 - May,N/A,N/A
Mapstone - Far northern,2018,09 - September,N/A,N/A
Mapstone - Far northern,2018 Total,,N/A,N/A
Mapstone - Far northern Total,,,1366,"1,674.78"
Mapstone - Gulf of carpentaria,1996,05 - May,N/A,N/A
Mapstone - Gulf of carpentaria,1996,06 - June,N/A,N/A
Mapstone - Gulf of carpentaria,1996,07 - July,N/A,N/A
Mapstone - Gulf of carpentaria,1996,08 - August,N/A,N/A
Mapstone - Gulf of carpentaria,1996,09 - September,N/A,N/A
Mapstone - Gulf of carpentaria,1996,10 - October,N/A,N/A
Mapstone - Gulf of carpentaria,1996,11 - November,N/A,N/A
Mapstone - Gulf of carpentaria,1996,12 - December,N/A,N/A
Mapstone - Gulf of carpentaria,1996 Total,,N/A,N/A
Mapstone - Gulf of carpentaria,1997,04 - April,N/A,N/A
Mapstone - Gulf of carpentaria,1997,05 - May,N/A,N/A
Mapstone - Gulf of carpentaria,1997,06 - June,N/A,N/A
Mapstone - Gulf of carpentaria,1997,07 - July,N/A,N/A
Mapstone - Gulf of carpentaria,1997,08 - August,N/A,N/A
Mapstone - Gulf of carpentaria,1997,09 - September,N/A,N/A
Mapstone - Gulf of carpentaria,1997,10 - October,N/A,N/A
Mapstone - Gulf of carpentaria,1997,12 - December,N/A,N/A
Mapstone - Gulf of carpentaria,1997 Total,,138,234.4
Mapstone - Gulf of carpentaria,1998,02 - February,N/A,N/A
Mapstone - Gulf of carpentaria,1998,03 - March,N/A,N/A
Mapstone - Gulf of carpentaria,1998,04 - April,N/A,N/A
Mapstone - Gulf of carpentaria,1998,05 - May,N/A,N/A
Mapstone - Gulf of carpentaria,1998,06 - June,N/A,N/A
Mapstone - Gulf of carpentaria,1998,07 - July,25,102.28
Mapstone - Gulf of carpentaria,1998,08 - August,N/A,N/A
Mapstone - Gulf of carpentaria,1998,09 - September,48,107.84
Mapstone - Gulf of carpentaria,1998,10 - October,N/A,N/A
Mapstone - Gulf of carpentaria,1998,11 - November,N/A,N/A
Mapstone - Gulf of carpentaria,1998,12 - December,N/A,N/A
Mapstone - Gulf of carpentaria,1998 Total,,274,"1,024.18"
Mapstone - Gulf of carpentaria,1999,02 - February,N/A,N/A
Mapstone - Gulf of carpentaria,1999,03 - March,N/A,N/A
Mapstone - Gulf of carpentaria,1999,04 - April,59,994.86
Mapstone - Gulf of carpentaria,1999,05 - May,52,227.82
Mapstone - Gulf of carpentaria,1999,06 - June,N/A,N/A
Mapstone - Gulf of carpentaria,1999,07 - July,46,75.04
Mapstone - Gulf of carpentaria,1999,08 - August,49,52
Mapstone - Gulf of carpentaria,1999,09 - September,63,137.58
Mapstone - Gulf of carpentaria,1999,10 - October,43,29.82
Mapstone - Gulf of carpentaria,1999,11 - November,N/A,N/A
Mapstone - Gulf of carpentaria,1999,12 - December,N/A,N/A
Mapstone - Gulf of carpentaria,1999 Total,,410,"1,653.46"
Mapstone - Gulf of carpentaria,2000,01 - January,N/A,N/A
Mapstone - Gulf of carpentaria,2000,02 - February,N/A,N/A
Mapstone - Gulf of carpentaria,2000,03 - March,N/A,N/A
Mapstone - Gulf of carpentaria,2000,04 - April,85,250.08
Mapstone - Gulf of carpentaria,2000,05 - May,84,180.2
Mapstone - Gulf of carpentaria,2000,06 - June,49,25.88
Mapstone - Gulf of carpentaria,2000,07 - July,48,24.94
Mapstone - Gulf of carpentaria,2000,08 - August,73,102.46
Mapstone - Gulf of carpentaria,2000,09 - September,66,109.08
Mapstone - Gulf of carpentaria,2000,10 - October,89,103
Mapstone - Gulf of carpentaria,2000,11 - November,37,0
Mapstone - Gulf of carpentaria,2000,12 - December,N/A,N/A
Mapstone - Gulf of carpentaria,2000 Total,,544,827.58
Mapstone - Gulf of carpentaria,2001,03 - March,17,31.52
Mapstone - Gulf of carpentaria,2001,04 - April,128,307.6
Mapstone - Gulf of carpentaria,2001,05 - May,111,199.64
Mapstone - Gulf of carpentaria,2001,06 - June,56,104.32
Mapstone - Gulf of carpentaria,2001,07 - July,76,176.96
Mapstone - Gulf of carpentaria,2001,08 - August,116,144.74
Mapstone - Gulf of carpentaria,2001,09 - September,96,173.38
Mapstone - Gulf of carpentaria,2001,10 - October,66,681.82
Mapstone - Gulf of carpentaria,2001,11 - November,40,50
Mapstone - Gulf of carpentaria,2001,12 - December,N/A,N/A
Mapstone - Gulf of carpentaria,2001 Total,,709,"1,869.98"
Mapstone - Gulf of carpentaria,2002,03 - March,15,68.08
Mapstone - Gulf of carpentaria,2002,04 - April,187,208.2
Mapstone - Gulf of carpentaria,2002,05 - May,189,313.12
Mapstone - Gulf of carpentaria,2002,06 - June,72,348.22
Mapstone - Gulf of carpentaria,2002,07 - July,110,219.8
Mapstone - Gulf of carpentaria,2002,08 - August,82,228.44
Mapstone - Gulf of carpentaria,2002,09 - September,142,373.18
Mapstone - Gulf of carpentaria,2002,10 - October,111,493.76
Mapstone - Gulf of carpentaria,2002,11 - November,57,222.36
Mapstone - Gulf of carpentaria,2002,12 - December,N/A,N/A
Mapstone - Gulf of carpentaria,2002 Total,,974,"2,475.16"
Mapstone - Gulf of carpentaria,2003,01 - January,N/A,N/A
Mapstone - Gulf of carpentaria,2003,02 - February,N/A,N/A
Mapstone - Gulf of carpentaria,2003,03 - March,51,194.7
Mapstone - Gulf of carpentaria,2003,04 - April,146,215.88
Mapstone - Gulf of carpentaria,2003,05 - May,103,95.8
Mapstone - Gulf of carpentaria,2003,06 - June,51,65.32
Mapstone - Gulf of carpentaria,2003,07 - July,80,99.04
Mapstone - Gulf of carpentaria,2003,08 - August,86,108.26
Mapstone - Gulf of carpentaria,2003,09 - September,117,95.58
Mapstone - Gulf of carpentaria,2003,10 - October,89,41.88
Mapstone - Gulf of carpentaria,2003,11 - November,71,0
Mapstone - Gulf of carpentaria,2003,12 - December,N/A,N/A
Mapstone - Gulf of carpentaria,2003 Total,,814,964.46
Mapstone - Gulf of carpentaria,2004,01 - January,N/A,N/A
Mapstone - Gulf of carpentaria,2004,02 - February,N/A,N/A
Mapstone - Gulf of carpentaria,2004,03 - March,32,46
Mapstone - Gulf of carpentaria,2004,04 - April,132,437.98
Mapstone - Gulf of carpentaria,2004,05 - May,160,950.02
Mapstone - Gulf of carpentaria,2004,06 - June,83,458.34
Mapstone - Gulf of carpentaria,2004,07 - July,55,52.64
Mapstone - Gulf of carpentaria,2004,08 - August,57,81.4
Mapstone - Gulf of carpentaria,2004,09 - September,101,114.62
Mapstone - Gulf of carpentaria,2004,10 - October,68,29.94
Mapstone - Gulf of carpentaria,2004,11 - November,39,0
Mapstone - Gulf of carpentaria,2004,12 - December,6,0
Mapstone - Gulf of carpentaria,2004 Total,,736,"2,180.94"
Mapstone - Gulf of carpentaria,2005,01 - January,N/A,N/A
Mapstone - Gulf of carpentaria,2005,02 - February,N/A,N/A
Mapstone - Gulf of carpentaria,2005,03 - March,56,159.82
Mapstone - Gulf of carpentaria,2005,04 - April,147,719.4
Mapstone - Gulf of carpentaria,2005,05 - May,109,55.82
Mapstone - Gulf of carpentaria,2005,06 - June,74,11.94
Mapstone - Gulf of carpentaria,2005,07 - July,40,48.64
Mapstone - Gulf of carpentaria,2005,08 - August,53,31.88
Mapstone - Gulf of carpentaria,2005,09 - September,77,51.82
Mapstone - Gulf of carpentaria,2005,10 - October,49,15.82
Mapstone - Gulf of carpentaria,2005,11 - November,29,114
Mapstone - Gulf of carpentaria,2005,12 - December,N/A,N/A
Mapstone - Gulf of carpentaria,2005 Total,,646,"1,241.14"
Mapstone - Gulf of carpentaria,2006,02 - February,N/A,N/A
Mapstone - Gulf of carpentaria,2006,03 - March,38,119
Mapstone - Gulf of carpentaria,2006,04 - April,102,54.7
Mapstone - Gulf of carpentaria,2006,05 - May,113,168.56
Mapstone - Gulf of carpentaria,2006,06 - June,95,845.4
Mapstone - Gulf of carpentaria,2006,07 - July,44,22.76
Mapstone - Gulf of carpentaria,2006,08 - August,46,237.94
Mapstone - Gulf of carpentaria,2006,09 - September,56,84
Mapstone - Gulf of carpentaria,2006,10 - October,52,0
Mapstone - Gulf of carpentaria,2006,11 - November,19,2
Mapstone - Gulf of carpentaria,2006,12 - December,N/A,N/A
Mapstone - Gulf of carpentaria,2006 Total,,571,"1,566.36"
Mapstone - Gulf of carpentaria,2007,01 - January,N/A,N/A
Mapstone - Gulf of carpentaria,2007,02 - February,N/A,N/A
Mapstone - Gulf of carpentaria,2007,03 - March,N/A,N/A
Mapstone - Gulf of carpentaria,2007,04 - April,63,203.42
Mapstone - Gulf of carpentaria,2007,05 - May,81,163.72
Mapstone - Gulf of carpentaria,2007,06 - June,55,94.62
Mapstone - Gulf of carpentaria,2007,07 - July,39,55.52
Mapstone - Gulf of carpentaria,2007,08 - August,41,27.58
Mapstone - Gulf of carpentaria,2007,09 - September,79,200.64
Mapstone - Gulf of carpentaria,2007,10 - October,83,107.7
Mapstone - Gulf of carpentaria,2007,11 - November,39,59.54
Mapstone - Gulf of carpentaria,2007 Total,,508,"1,117.44"
Mapstone - Gulf of carpentaria,2008,03 - March,34,167
Mapstone - Gulf of carpentaria,2008,04 - April,77,113
Mapstone - Gulf of carpentaria,2008,05 - May,61,40
Mapstone - Gulf of carpentaria,2008,06 - June,14,27
Mapstone - Gulf of carpentaria,2008,07 - July,N/A,N/A
Mapstone - Gulf of carpentaria,2008,08 - August,N/A,N/A
Mapstone - Gulf of carpentaria,2008,09 - September,N/A,N/A
Mapstone - Gulf of carpentaria,2008,10 - October,N/A,N/A
Mapstone - Gulf of carpentaria,2008,11 - November,N/A,N/A
Mapstone - Gulf of carpentaria,2008 Total,,266,393
Mapstone - Gulf of carpentaria,2009,04 - April,N/A,N/A
Mapstone - Gulf of carpentaria,2009,05 - May,N/A,N/A
Mapstone - Gulf of carpentaria,2009,06 - June,N/A,N/A
Mapstone - Gulf of carpentaria,2009,07 - July,N/A,N/A
Mapstone - Gulf of carpentaria,2009,08 - August,15,21.94
Mapstone - Gulf of carpentaria,2009,09 - September,20,244.58
Mapstone - Gulf of carpentaria,2009,10 - October,N/A,N/A
Mapstone - Gulf of carpentaria,2009,11 - November,N/A,N/A
Mapstone - Gulf of carpentaria,2009,12 - December,N/A,N/A
Mapstone - Gulf of carpentaria,2009 Total,,87,404.96
Mapstone - Gulf of carpentaria,2010,03 - March,N/A,N/A
Mapstone - Gulf of carpentaria,2010,04 - April,N/A,N/A
Mapstone - Gulf of carpentaria,2010,05 - May,N/A,N/A
Mapstone - Gulf of carpentaria,2010,06 - June,N/A,N/A
Mapstone - Gulf of carpentaria,2010,07 - July,N/A,N/A
Mapstone - Gulf of carpentaria,2010,08 - August,N/A,N/A
Mapstone - Gulf of carpentaria,2010,09 - September,16,116
Mapstone - Gulf of carpentaria,2010,10 - October,N/A,N/A
Mapstone - Gulf of carpentaria,2010,11 - November,N/A,N/A
Mapstone - Gulf of carpentaria,2010,12 - December,N/A,N/A
Mapstone - Gulf of carpentaria,2010 Total,,100,190.82
Mapstone - Gulf of carpentaria,2011,04 - April,N/A,N/A
Mapstone - Gulf of carpentaria,2011,05 - May,N/A,N/A
Mapstone - Gulf of carpentaria,2011,06 - June,N/A,N/A
Mapstone - Gulf of carpentaria,2011,07 - July,N/A,N/A
Mapstone - Gulf of carpentaria,2011,08 - August,N/A,N/A
Mapstone - Gulf of carpentaria,2011,09 - September,N/A,N/A
Mapstone - Gulf of carpentaria,2011 Total,,87,497.7
Mapstone - Gulf of carpentaria,2012,03 - March,N/A,N/A
Mapstone - Gulf of carpentaria,2012,04 - April,26,168
Mapstone - Gulf of carpentaria,2012,05 - May,N/A,N/A
Mapstone - Gulf of carpentaria,2012,06 - June,N/A,N/A
Mapstone - Gulf of carpentaria,2012,07 - July,N/A,N/A
Mapstone - Gulf of carpentaria,2012,08 - August,N/A,N/A
Mapstone - Gulf of carpentaria,2012,09 - September,N/A,N/A
Mapstone - Gulf of carpentaria,2012,10 - October,N/A,N/A
Mapstone - Gulf of carpentaria,2012 Total,,96,542.7
Mapstone - Gulf of carpentaria,2013,02 - February,N/A,N/A
Mapstone - Gulf of carpentaria,2013,03 - March,N/A,N/A
Mapstone - Gulf of carpentaria,2013,04 - April,N/A,N/A
Mapstone - Gulf of carpentaria,2013,05 - May,N/A,N/A
Mapstone - Gulf of carpentaria,2013,06 - June,N/A,N/A
Mapstone - Gulf of carpentaria,2013,07 - July,N/A,N/A
Mapstone - Gulf of carpentaria,2013,08 - August,N/A,N/A
Mapstone - Gulf of carpentaria,2013,09 - September,N/A,N/A
Mapstone - Gulf of carpentaria,2013,10 - October,N/A,N/A
Mapstone - Gulf of carpentaria,2013 Total,,107,766.56
Mapstone - Gulf of carpentaria,2014,04 - April,N/A,N/A
Mapstone - Gulf of carpentaria,2014,05 - May,N/A,N/A
Mapstone - Gulf of carpentaria,2014,06 - June,N/A,N/A
Mapstone - Gulf of carpentaria,2014,07 - July,N/A,N/A
Mapstone - Gulf of carpentaria,2014,08 - August,N/A,N/A
Mapstone - Gulf of carpentaria,2014,09 - September,N/A,N/A
Mapstone - Gulf of carpentaria,2014,10 - October,N/A,N/A
Mapstone - Gulf of carpentaria,2014 Total,,N/A,N/A
Mapstone - Gulf of carpentaria,2015,03 - March,N/A,N/A
Mapstone - Gulf of carpentaria,2015,04 - April,N/A,N/A
Mapstone - Gulf of carpentaria,2015,05 - May,N/A,N/A
Mapstone - Gulf of carpentaria,2015,06 - June,N/A,N/A
Mapstone - Gulf of carpentaria,2015,07 - July,N/A,N/A
Mapstone - Gulf of carpentaria,2015,08 - August,N/A,N/A
Mapstone - Gulf of carpentaria,2015,09 - September,N/A,N/A
Mapstone - Gulf of carpentaria,2015,10 - October,N/A,N/A
Mapstone - Gulf of carpentaria,2015 Total,,N/A,N/A
Mapstone - Gulf of carpentaria,2016,04 - April,N/A,N/A
Mapstone - Gulf of carpentaria,2016,05 - May,N/A,N/A
Mapstone - Gulf of carpentaria,2016,06 - June,N/A,N/A
Mapstone - Gulf of carpentaria,2016,07 - July,N/A,N/A
Mapstone - Gulf of carpentaria,2016,08 - August,N/A,N/A
Mapstone - Gulf of carpentaria,2016,09 - September,N/A,N/A
Mapstone - Gulf of carpentaria,2016,10 - October,N/A,N/A
Mapstone - Gulf of carpentaria,2016 Total,,N/A,N/A
Mapstone - Gulf of carpentaria,2017,03 - March,N/A,N/A
Mapstone - Gulf of carpentaria,2017,04 - April,54,312.5
Mapstone - Gulf of carpentaria,2017,05 - May,N/A,N/A
Mapstone - Gulf of carpentaria,2017,06 - June,N/A,N/A
Mapstone - Gulf of carpentaria,2017,07 - July,N/A,N/A
Mapstone - Gulf of carpentaria,2017,08 - August,N/A,N/A
Mapstone - Gulf of carpentaria,2017,09 - September,N/A,N/A
Mapstone - Gulf of carpentaria,2017,10 - October,N/A,N/A
Mapstone - Gulf of carpentaria,2017 Total,,129,909.06
Mapstone - Gulf of carpentaria,2018,03 - March,N/A,N/A
Mapstone - Gulf of carpentaria,2018,04 - April,N/A,N/A
Mapstone - Gulf of carpentaria,2018,05 - May,N/A,N/A
Mapstone - Gulf of carpentaria,2018,06 - June,N/A,N/A
Mapstone - Gulf of carpentaria,2018,07 - July,N/A,N/A
Mapstone - Gulf of carpentaria,2018,08 - August,N/A,N/A
Mapstone - Gulf of carpentaria,2018,09 - September,N/A,N/A
Mapstone - Gulf of carpentaria,2018,10 - October,N/A,N/A
Mapstone - Gulf of carpentaria,2018,11 - November,N/A,N/A
Mapstone - Gulf of carpentaria,2018 Total,,134,641.36
Mapstone - Gulf of carpentaria,2019,03 - March,N/A,N/A
Mapstone - Gulf of carpentaria,2019,04 - April,N/A,N/A
Mapstone - Gulf of carpentaria,2019,05 - May,N/A,N/A
Mapstone - Gulf of carpentaria,2019,06 - June,N/A,N/A
Mapstone - Gulf of carpentaria,2019,07 - July,N/A,N/A
Mapstone - Gulf of carpentaria,2019,08 - August,N/A,N/A
Mapstone - Gulf of carpentaria,2019,09 - September,N/A,N/A
Mapstone - Gulf of carpentaria,2019,10 - October,N/A,N/A
Mapstone - Gulf of carpentaria,2019 Total,,133,565.38
Mapstone - Gulf of carpentaria,2020,03 - March,N/A,N/A
Mapstone - Gulf of carpentaria,2020,07 - July,N/A,N/A
Mapstone - Gulf of carpentaria,2020,08 - August,N/A,N/A
Mapstone - Gulf of carpentaria,2020,09 - September,N/A,N/A
Mapstone - Gulf of carpentaria,2020,10 - October,N/A,N/A
Mapstone - Gulf of carpentaria,2020 Total,,N/A,N/A
Mapstone - Gulf of carpentaria,2021,04 - April,N/A,N/A
Mapstone - Gulf of carpentaria,2021,05 - May,N/A,N/A
Mapstone - Gulf of carpentaria,2021,06 - June,N/A,N/A
Mapstone - Gulf of carpentaria,2021,07 - July,N/A,N/A
Mapstone - Gulf of carpentaria,2021,08 - August,N/A,N/A
Mapstone - Gulf of carpentaria,2021,09 - September,N/A,N/A
Mapstone - Gulf of carpentaria,2021,10 - October,N/A,N/A
Mapstone - Gulf of carpentaria,2021 Total,,N/A,N/A
Mapstone - Gulf of carpentaria,2022,03 - March,N/A,N/A
Mapstone - Gulf of carpentaria,2022,04 - April,N/A,N/A
Mapstone - Gulf of carpentaria,2022,05 - May,N/A,N/A
Mapstone - Gulf of carpentaria,2022,06 - June,N/A,N/A
Mapstone - Gulf of carpentaria,2022,07 - July,N/A,N/A
Mapstone - Gulf of carpentaria,2022,08 - August,N/A,N/A
Mapstone - Gulf of carpentaria,2022,09 - September,N/A,N/A
Mapstone - Gulf of carpentaria,2022,10 - October,N/A,N/A
Mapstone - Gulf of carpentaria,2022 Total,,125,"1,047.8"
Mapstone - Gulf of carpentaria,2023,05 - May,N/A,N/A
Mapstone - Gulf of carpentaria,2023,06 - June,N/A,N/A
Mapstone - Gulf of carpentaria,2023,07 - July,N/A,N/A
Mapstone - Gulf of carpentaria,2023,08 - August,N/A,N/A
Mapstone - Gulf of carpentaria,2023,09 - September,N/A,N/A
Mapstone - Gulf of carpentaria,2023,10 - October,N/A,N/A
Mapstone - Gulf of carpentaria,2023,11 - November,N/A,N/A
Mapstone - Gulf of carpentaria,2023 Total,,57,"1,103.03"
Mapstone - Gulf of carpentaria Total,,,8192,"24,665.51"
Mapstone - Mackay,1996,04 - April,N/A,N/A
Mapstone - Mackay,1996,10 - October,N/A,N/A
Mapstone - Mackay,1996,11 - November,N/A,N/A
Mapstone - Mackay,1996,12 - December,N/A,N/A
Mapstone - Mackay,1996 Total,,N/A,N/A
Mapstone - Mackay,1997,01 - January,N/A,N/A
Mapstone - Mackay,1997,03 - March,N/A,N/A
Mapstone - Mackay,1997,04 - April,N/A,N/A
Mapstone - Mackay,1997,05 - May,N/A,N/A
Mapstone - Mackay,1997,10 - October,N/A,N/A
Mapstone - Mackay,1997,11 - November,N/A,N/A
Mapstone - Mackay,1997 Total,,14,79.6
Mapstone - Mackay,1998,01 - January,N/A,N/A
Mapstone - Mackay,1998,02 - February,N/A,N/A
Mapstone - Mackay,1998,03 - March,N/A,N/A
Mapstone - Mackay,1998,04 - April,N/A,N/A
Mapstone - Mackay,1998 Total,,N/A,N/A
Mapstone - Mackay,1999,01 - January,N/A,N/A
Mapstone - Mackay,1999,02 - February,N/A,N/A
Mapstone - Mackay,1999,03 - March,N/A,N/A
Mapstone - Mackay,1999,09 - September,N/A,N/A
Mapstone - Mackay,1999 Total,,N/A,N/A
Mapstone - Mackay,2000,01 - January,N/A,N/A
